per_unit_group,footprint_type,unit,centile_25,centile_50,centile_75,centile_up,centile_down,weighted_avg,chart_group
Full-fat yogurt,kg_co2_luc_pasture,per_kg_edible_wt,0.0,0.0,0.0,0.0,0.0,0.057285029702153774,Dairy and eggs
Full-fat yogurt,kg_co2_luc_pasture,per_kg_nut_adjusted,0.0,0.0,0.0,0.0,0.0,0.04582802376172302,Dairy and eggs
Full-fat yogurt,kg_co2_luc_pasture,per_serving,0.0,0.0,0.0,0.0,0.0,0.009738455049366143,Dairy and eggs
Full-fat yogurt,kg_co2e_excl_luc,per_g_protein,0.0781827999552534,0.10812269336179971,0.2387970361643653,0.13067434280256557,0.029939893406546306,0.1052886674139737,Dairy and eggs
Full-fat yogurt,kg_co2e_excl_luc,per_kcal,0.004447447800733266,0.006150585999433524,0.013584028122792581,0.0074334421233590575,0.0017031381987002575,0.005989371736499816,Dairy and eggs
Full-fat yogurt,kg_co2e_excl_luc,per_kg_edible_wt,2.7129431584472927,3.75185745965445,8.286257154903474,4.534399695249024,1.038914301207157,3.653516759264887,Dairy and eggs
Full-fat yogurt,kg_co2e_excl_luc,per_kg_nut_adjusted,2.1703545267578344,3.00148596772356,6.629005723922781,3.6275197561992205,0.8311314409657258,2.92281340741191,Dairy and eggs
Full-fat yogurt,kg_co2e_excl_luc,per_serving,0.4612003369360398,0.6378157681412565,1.4086637163335909,0.7708479481923344,0.17661543120521672,0.621097849075031,Dairy and eggs
Full-fat yogurt,l_blue_wf_excl_pond,per_g_protein,1.208167907216402,2.190969439551263,4.439492047832854,2.248522608281591,0.9828015323348609,3.2869842578185886,Dairy and eggs
Full-fat yogurt,l_blue_wf_excl_pond,per_kcal,0.06872692849247401,0.12463383533185052,0.2525415968193443,0.12790776148749378,0.055906906839376505,0.18698090778082788,Dairy and eggs
Full-fat yogurt,l_blue_wf_excl_pond,per_kg_edible_wt,41.923426380409154,76.02663955242882,154.05037405980005,78.02373450737123,34.103213172019665,114.05835374630502,Dairy and eggs
Full-fat yogurt,l_blue_wf_excl_pond,per_kg_nut_adjusted,33.53874110432732,60.82131164194306,123.24029924784003,62.418987605896966,27.28257053761574,91.24668299704402,Dairy and eggs
Full-fat yogurt,l_blue_wf_excl_pond,per_serving,7.126982484669556,12.924528723912902,26.188563590166005,13.264034866253104,5.797546239243346,19.389920136871854,Dairy and eggs
Full-fat yogurt,l_green_wf,per_g_protein,27.039527461655,36.507200027569596,50.75006872781866,14.242868700249062,9.467672565914597,30.133911891301093,Dairy and eggs
Full-fat yogurt,l_green_wf,per_kcal,1.5381501687203742,2.0767210507486307,2.886930139107061,0.8102090883584303,0.5385708820282564,1.7141749879149961,Dairy and eggs
Full-fat yogurt,l_green_wf,per_kg_edible_wt,938.2716029194283,1266.7998409566649,1761.0273848553072,494.22754389864235,328.5282380372365,1045.6467426281479,Dairy and eggs
Full-fat yogurt,l_green_wf,per_kg_nut_adjusted,750.6172823355428,1013.439872765332,1408.8219078842458,395.3820351189138,262.8225904297892,836.5173941025186,Dairy and eggs
Full-fat yogurt,l_green_wf,per_serving,159.50617249630284,215.35597296263305,299.37465542540224,84.01868246276919,55.84980046633021,177.75994624678518,Dairy and eggs
Grains,kg_co2e_excl_luc,per_g_protein,0.003337740711254839,0.0057369428546204335,0.007628913370505896,0.0018919705158854626,0.0023992021433655946,0.007530375653251882,Plant foods
Grains,kg_co2e_excl_luc,per_kcal,0.00010234698562740281,0.00016256627325933893,0.00023516001083321694,7.2593737573878e-05,6.021928763193612e-05,0.00020034067308137508,Plant foods
Grains,kg_co2e_excl_luc,per_kg_edible_wt,0.28,0.487306,0.59,0.10269399999999995,0.207306,0.5978856643090174,Plant foods
Grains,kg_co2e_excl_luc,per_kg_nut_adjusted,0.28,0.487306,0.59,0.10269399999999995,0.207306,0.5978856643090174,Plant foods
Grains,kg_co2e_excl_luc,per_serving,0.012600000000000002,0.02192877,0.026549999999999997,0.004621229999999997,0.009328769999999998,0.026904854893905778,Plant foods
Grains,l_blue_wf_excl_pond,per_g_protein,0.33058304362635876,1.1430061798580018,5.088830946733269,3.9458247668752673,0.812423136231643,3.244710745501226,Plant foods
Grains,l_blue_wf_excl_pond,per_kcal,0.00913376922847124,0.034858126573737304,0.1406056203272003,0.10574749375346301,0.025724357345266062,0.07865291555731488,Plant foods
Grains,l_blue_wf_excl_pond,per_kg_edible_wt,23.83310245695453,103.76206615725097,418.9456750387569,315.18360888150596,79.92896370029644,251.89794987013204,Plant foods
Grains,l_blue_wf_excl_pond,per_kg_nut_adjusted,23.83310245695453,103.76206615725097,418.9456750387569,315.18360888150596,79.92896370029644,251.89794987013204,Plant foods
Grains,l_blue_wf_excl_pond,per_serving,1.0724896105629538,4.669292977076294,18.85255537674406,14.183262399667766,3.59680336651334,11.335407744155946,Plant foods
Grains,l_green_wf,per_g_protein,11.385004776565829,22.372040473348353,40.56281642911364,18.190775955765286,10.987035696782524,17.984347281054,Plant foods
Grains,l_green_wf,per_kcal,0.33542840723993866,0.6382208065798696,1.169278578574616,0.5310577719947465,0.3027923993399309,0.44586356183424,Plant foods
Grains,l_green_wf,per_kg_edible_wt,929.2837512774838,1835.5228263249246,3309.0044929589103,1473.4816666339857,906.2390750474408,1382.9774302633477,Plant foods
Grains,l_green_wf,per_kg_nut_adjusted,929.2837512774838,1835.5228263249246,3309.0044929589103,1473.4816666339857,906.2390750474408,1382.9774302633477,Plant foods
Grains,l_green_wf,per_serving,41.81776880748677,82.5985271846216,148.90520218315098,66.30667499852937,40.78075837713483,62.23398436185064,Plant foods
Insects,kg_co2e_excl_luc,per_g_protein,0.014191780821917807,0.014301369863013698,0.014410958904109589,0.0001095890410958908,0.0001095890410958908,0.014301369863013698,Terrestrial meat
Insects,kg_co2e_excl_luc,per_kcal,0.0011285403050108932,0.0011372549019607841,0.0011459694989106753,8.714596949891155e-06,8.714596949890938e-06,0.0011372549019607841,Terrestrial meat
Insects,kg_co2e_excl_luc,per_kg_edible_wt,2.59,2.61,2.63,0.020000000000000018,0.020000000000000018,2.61,Terrestrial meat
Insects,kg_co2e_excl_luc,per_kg_nut_adjusted,2.59,2.61,2.63,0.020000000000000018,0.020000000000000018,2.61,Terrestrial meat
Insects,kg_co2e_excl_luc,per_serving,0.09790027333333332,0.09865625999999998,0.09941224666666665,0.0007559866666666665,0.0007559866666666665,0.09865625999999998,Terrestrial meat
Insects,l_blue_wf_excl_pond,per_g_protein,2.16986301369863,2.16986301369863,2.16986301369863,0.0,0.0,2.16986301369863,Terrestrial meat
Insects,l_blue_wf_excl_pond,per_kcal,0.17254901960784313,0.17254901960784313,0.17254901960784313,0.0,0.0,0.17254901960784313,Terrestrial meat
Insects,l_blue_wf_excl_pond,per_kg_edible_wt,396.0,396.0,396.0,0.0,0.0,396.0,Terrestrial meat
Insects,l_blue_wf_excl_pond,per_kg_nut_adjusted,396.0,396.0,396.0,0.0,0.0,396.0,Terrestrial meat
Insects,l_blue_wf_excl_pond,per_serving,14.968535999999999,14.968535999999999,14.968535999999999,0.0,0.0,14.968535999999999,Terrestrial meat
Insects,l_green_wf,per_g_protein,18.975342465753425,18.975342465753425,18.975342465753425,0.0,0.0,18.975342465753425,Terrestrial meat
Insects,l_green_wf,per_kcal,1.5089324618736384,1.5089324618736384,1.5089324618736384,0.0,0.0,1.5089324618736384,Terrestrial meat
Insects,l_green_wf,per_kg_edible_wt,3463.0,3463.0,3463.0,0.0,0.0,3463.0,Terrestrial meat
Insects,l_green_wf,per_kg_nut_adjusted,3463.0,3463.0,3463.0,0.0,0.0,3463.0,Terrestrial meat
Insects,l_green_wf,per_serving,130.8990913333333,130.8990913333333,130.8990913333333,0.0,0.0,130.8990913333333,Terrestrial meat
Nuts and seeds,kg_co2e_excl_luc,per_g_protein,0.014150276433095644,0.018738533802160312,0.020479099635579607,0.0017405658334192949,0.004588257369064668,0.014780700472442194,Plant foods
Nuts and seeds,kg_co2e_excl_luc,per_kcal,0.00037131844986953023,0.0004917192506552166,0.0007479924543044863,0.00025627320364926976,0.00012040080078568635,0.0004421093844781313,Plant foods
Nuts and seeds,kg_co2e_excl_luc,per_kg_edible_wt,1.8719999999999999,2.1904761904761907,2.479,0.2885238095238094,0.3184761904761908,1.8979952380952383,Plant foods
Nuts and seeds,kg_co2e_excl_luc,per_kg_nut_adjusted,1.8719999999999999,2.1904761904761907,2.479,0.2885238095238094,0.3184761904761908,1.8979952380952383,Plant foods
Nuts and seeds,kg_co2e_excl_luc,per_serving,0.056159999999999995,0.06571428571428573,0.07437,0.00865571428571428,0.00955428571428573,0.05693985714285714,Plant foods
Nuts and seeds,l_blue_wf_excl_pond,per_g_protein,0.47405975824113417,1.22645245802357,3.6825929071473986,2.4561404491238283,0.752392699782436,4.362043893137464,Plant foods
Nuts and seeds,l_blue_wf_excl_pond,per_kcal,0.014058498927358084,0.04598042183891572,0.13835801110614238,0.09237758926722665,0.03192192291155764,0.12532335934285027,Plant foods
Nuts and seeds,l_blue_wf_excl_pond,per_kg_edible_wt,73.59590743684754,189.01118019092903,731.8135805387981,542.802400347869,115.41527275408149,592.5100872800753,Plant foods
Nuts and seeds,l_blue_wf_excl_pond,per_kg_nut_adjusted,73.59590743684754,189.01118019092903,731.8135805387981,542.802400347869,115.41527275408149,592.5100872800753,Plant foods
Nuts and seeds,l_blue_wf_excl_pond,per_serving,2.2078772231054264,5.670335405727871,21.954407416163942,16.28407201043607,3.462458182622445,17.77530261840226,Plant foods
Nuts and seeds,l_green_wf,per_g_protein,16.201888460382268,34.82311292885579,56.523574122815205,21.700461193959413,18.621224468473525,38.82845771998961,Plant foods
Nuts and seeds,l_green_wf,per_kcal,0.5942778382734342,1.0913814712279095,1.695583425907319,0.6042019546794095,0.49710363295447535,1.2451811702519724,Plant foods
Nuts and seeds,l_green_wf,per_kg_edible_wt,2589.29999206434,4650.417437209874,8902.375901865038,4251.958464655164,2061.117445145534,5280.689747326331,Plant foods
Nuts and seeds,l_green_wf,per_kg_nut_adjusted,2589.29999206434,4650.417437209874,8902.375901865038,4251.958464655164,2061.117445145534,5280.689747326331,Plant foods
Nuts and seeds,l_green_wf,per_serving,77.6789997619302,139.51252311629622,267.0712770559511,127.55875393965488,61.83352335436602,158.42069241978993,Plant foods
Other farmed fish,l_blue_wf_excl_pond,per_g_protein,1.10138036287417,1.2894209126331748,1.3162838483130326,0.026862935679857758,0.18804054975900475,1.1435159124802379,Aquatic animals
Other farmed fish,l_blue_wf_excl_pond,per_kcal,0.17851007078823386,0.20697427839631982,0.20988940907795814,0.002915130681638317,0.028464207608085962,0.18259815184089978,Aquatic animals
Other farmed fish,l_blue_wf_excl_pond,per_kg_edible_wt,246.0,284.0,288.0,4.0,38.0,255.55555555555554,Aquatic animals
Other farmed fish,l_blue_wf_excl_pond,per_kg_nut_adjusted,123.0,142.0,144.0,2.0,19.0,127.77777777777777,Aquatic animals
Other farmed fish,l_blue_wf_excl_pond,per_serving,29.888508,34.505432,34.991424,0.4859920000000031,4.616923999999997,31.049488888888888,Aquatic animals
Other farmed fish,l_green_wf,per_g_protein,4.9731746695787304,10.646676841116978,11.219752802287276,0.5730759611702982,5.673502171538248,9.427378000596843,Aquatic animals
Other farmed fish,l_green_wf,per_kcal,0.6869199455787,1.7255973509529274,1.81848063981835,0.09288328886542252,1.0386774053742274,1.501145583513526,Aquatic animals
Other farmed fish,l_green_wf,per_kg_edible_wt,1326.0,2378.0,2506.0,128.0,1052.0,2108.222222222222,Aquatic animals
Other farmed fish,l_green_wf,per_kg_nut_adjusted,663.0,1189.0,1253.0,64.0,526.0,1054.111111111111,Aquatic animals
Other farmed fish,l_green_wf,per_serving,161.106348,288.922244,304.473988,15.551744000000042,127.81589599999998,256.14478355555553,Aquatic animals
Pig meat,kg_co2_luc_feed_palm,per_g_protein,0.0,0.0,7.754460046734276e-06,7.754460046734276e-06,0.0,9.225513987042385e-05,Terrestrial meat
Pig meat,kg_co2_luc_feed_palm,per_kcal,0.0,0.0,2.7289845785596695e-07,2.7289845785596695e-07,0.0,3.2466845206750373e-06,Terrestrial meat
Pig meat,kg_co2_luc_feed_palm,per_kg_edible_wt,0.0,0.0,0.001138779012175138,0.001138779012175138,0.0,0.013548102178173555,Terrestrial meat
Pig meat,kg_co2_luc_feed_palm,per_kg_nut_adjusted,0.0,0.0,0.0008313086788878507,0.0008313086788878507,0.0,0.009890114590066694,Terrestrial meat
Pig meat,kg_co2_luc_feed_palm,per_serving,0.0,0.0,0.0001291354142598379,0.0001291354142598379,0.0,0.0015363294972141482,Terrestrial meat
Pig meat,kg_co2_luc_feed_soy,per_g_protein,0.0,2.4277095841519957e-05,0.0036259417318302125,0.0036016646359886923,2.4277095841519957e-05,0.00810939556035833,Terrestrial meat
Pig meat,kg_co2_luc_feed_soy,per_kcal,0.0,8.543705140582216e-07,0.00012760577795597572,0.0001267514074419175,8.543705140582216e-07,0.0002853895086477126,Terrestrial meat
Pig meat,kg_co2_luc_feed_soy,per_kg_edible_wt,0.0,0.003565205965891877,0.5324866359092497,0.5289214299433579,0.003565205965891877,1.190902965507117,Terrestrial meat
Pig meat,kg_co2_luc_feed_soy,per_kg_nut_adjusted,0.0,0.00260260035510107,0.38871524421375225,0.3861126438586512,0.00260260035510107,0.8693591648201955,Terrestrial meat
Pig meat,kg_co2_luc_feed_soy,per_serving,0.0,0.0004042877014810025,0.06038299053705522,0.059978702835574216,0.0004042877014810025,0.13504617326963814,Terrestrial meat
Pig meat,kg_co2e_excl_luc,per_g_protein,0.039683470358944054,0.04526757792289035,0.0570466855421863,0.011779107619295952,0.005584107563946297,0.05388931741557608,Terrestrial meat
Pig meat,kg_co2e_excl_luc,per_kcal,0.0013965585995751673,0.0015930770332918463,0.00200761270500236,0.00041453567171051376,0.00019651843371667902,0.0018964971808468926,Terrestrial meat
Pig meat,kg_co2e_excl_luc,per_kg_edible_wt,5.827704689002989,6.64775720809857,8.377574688382783,1.729817480284213,0.8200525190955812,7.913900295243226,Terrestrial meat
Pig meat,kg_co2e_excl_luc,per_kg_nut_adjusted,4.254224422972181,4.852862761911956,6.115629522519431,1.2627667606074748,0.5986383389397751,5.777147215527553,Terrestrial meat
